Train,Test,Accuracy,Precision,Recall,Macro_F1,Weighted_F1,QWK,AUC,PR_AUC
APTOS,MESSIDOR,0.5628571428571428,0.14176646706586826,0.196890756302521,0.15428373822080055,0.4318195852733762,0.05229509925142095,0.6591546097560178,0.34711342497788034
APTOS,DDR,0.5438946528332003,0.34674096941534227,0.3073384682941539,0.277151100701629,0.4383717917355255,0.35679431732518474,0.7206238304759566,0.3744083643935799
APTOS,DR,0.4337568058076225,0.28440069317415995,0.2585823754789272,0.20925778216242313,0.32097438833873626,0.2603386307539082,0.778677715740779,0.4315929327717953
DDR,MESSIDOR,0.3457142857142857,0.43412075592568866,0.24991907874260813,0.22975090152706867,0.34037902619465726,0.10825301681076938,0.6924442573181118,0.35041666360741197
DDR,APTOS,0.35149863760217986,0.32007873455522534,0.2800911741407106,0.22946282275435878,0.32069766553251217,0.3568334463795405,0.7293904687118367,0.3684142385349642
DDR,DR,0.37568058076225047,0.174392523364486,0.20689883913764512,0.12447870452528838,0.22393250877246662,0.026210395792654162,0.6444640238574502,0.3175896489904319
MESSIDOR,APTOS,0.5040871934604905,0.3191453651524304,0.35096504600287726,0.278791021226929,0.45027974903480045,0.545718050627275,0.6922677468818454,0.31427786209033143
MESSIDOR,DDR,0.5195530726256983,0.35671087289380754,0.3425425633670429,0.27674385190285133,0.4317577620729815,0.3512169550662667,0.7295475609182188,0.3572909510746258
MESSIDOR,DR,0.37749546279491836,0.2681563126252505,0.23082612070043335,0.16101389838231944,0.2408135501267606,0.11587730323857415,0.614190185409362,0.2630916530841831
DR,APTOS,0.659400544959128,0.4326618766572577,0.3683956651083723,0.3247260836777131,0.6033705960143269,0.6461594968091455,0.8229257485196906,0.45454600066197653
DR,DDR,0.5482841181165203,0.34118553763633686,0.2461717953244719,0.23141886927456518,0.4906607537925591,0.29685655568233316,0.6546451692891944,0.2978253910321037
DR,MESSIDOR,0.5542857142857143,0.15406490081412683,0.19957983193277312,0.16407206713746356,0.43868307283006314,0.05540849873300857,0.5798367679737977,0.2513519811720132
