Configuration,N_Features,Accuracy,Precision,Recall,Macro_F1,Weighted_F1,QWK,AUC,PR_AUC
A7: Full Fusion (no selection),2048,0.7223,0.6196,0.5839,0.5965,0.711,0.7884,0.8916,0.6147
A4: CNN + DenseNet,1280,0.7278,0.6181,0.586,0.5957,0.7146,0.7817,0.8922,0.6235
A2: DenseNet121 only,1024,0.7296,0.6213,0.5848,0.5953,0.7148,0.7804,0.8889,0.6236
A9b: RFE,955,0.7205,0.6177,0.5794,0.5915,0.7082,0.7883,0.8911,0.616
A10: NSGA-II + Full Fusion,992,0.7151,0.6079,0.582,0.5914,0.7049,0.7702,0.8918,0.6226
A11: Proposed (MOEA/D),955,0.7078,0.602,0.5774,0.5873,0.6987,0.778,0.8889,0.6143
A6: DenseNet + ViT,1792,0.7205,0.6099,0.5714,0.5834,0.7068,0.7756,0.8952,0.6222
A3: ViT only,768,0.6987,0.6018,0.5491,0.5658,0.685,0.7632,0.8638,0.5749
A9a: LASSO,106,0.6806,0.5575,0.5474,0.5514,0.6732,0.7589,0.8795,0.5865
A5: CNN + ViT,1024,0.6969,0.5819,0.5366,0.5503,0.6815,0.781,0.8681,0.5827
A8: Full Fusion + PCA,343,0.6897,0.564,0.5326,0.5404,0.6752,0.7478,0.8569,0.557
A1: CNN only,256,0.6497,0.5161,0.5031,0.5046,0.6394,0.6173,0.8283,0.5203
